,Course #,Course name,Instructor,OER ,Enrollment,Cost Savings ($),Department
0,EDTL: 3165,Elementary Science Methods I,Hyesun You,Elementary Earth and Space Science Methods,58,6782.52,Education
1,EDTL:3166,Elementary Science Methods II,Neal,Elementary Earth and Space Science Methods,68,7951.92,Education
2,COMM:1305:0AAA,Understanding Comm: Social Scientific,Magsamen-Conrad,Introduction to Social Scientific Communication Research Methods,23,2689.62,Communication
3,COMM:1305:0AAA,Understanding Comm: Social Scientific,Magsamen-Conrad,Introduction to Social Scientific Communication Research Methods,23,2689.62,Communication
4,GEOG:2013:0001,Introduction to Sustainability,Stratis Giannakouros,"Sustainability: A Comprehensive Foundation 2018; Theis, T. and Tomkin, J. Editors. ",100,11694.0,Geographical and Sustainablilty Sciences
5,ECON:3100:0001,Intermediate Microeconomics,Julia Garlick,Intermediate Microeconomics by Patrick M. Emerson,14,1637.1599999999999,Economics
6,BIOS 4120,Introduction to Biostatistics,Knute Carter,"Ward and Nolte's OER, forthcoming",135,15786.9,Biostatistics
7,ITAL:1102:0001,Elementary Italian II,Sartini-Rideout,"Lottini OER, forthcoming",20,2338.8,French and Italian
8,ITAL:1102:0002,Elementary Italian II,Sartini-Rideout,"Lottini OER, forthcoming",21,2455.74,French and Italian
9,ITAL:1102:0003,Elementary Italian II,Sartini-Rideout,"Lottini OER, forthcoming",20,2338.8,French and Italian
10,ITAL:1102:0004,Elementary Italian II,Sartini-Rideout,"Lottini OER, forthcoming",21,2455.74,French and Italian
11,ITAL:1102:0005,Elementary Italian II,Sartini-Rideout,"Lottini OER, forthcoming",14,1637.1599999999999,French and Italian
12,ITAL: 2204:01,Intermediate Italian II,Katja Liimatta,"Gemmani OER, forthcoming",14,1637.1599999999999,French and Italian
13,ITAL: 2204:02,Intermediate Italian II,Katja Liimatta,"Gemmani OER, forthcoming",10,1169.4,French and Italian
14,NURS 3731,Healthier Living for Well-Being,Emily Griffin,"Griffin OER, forthcoming",14,1637.1599999999999,College of Nursing
15,MGMT 2000,Introduction to Law,Andrew Hosmanek,"Hosmanek OER, forthcoming",586,68526.84,Management and Entrepreneurship
16,ANTH: 1101:0EXW,Cultural Anthropology,Erica Prussing,"""Instructor is using free/open educational resource materials. Cost free to students.""",150,17541.0,Anthropology
17,SPAN: 1502,Intermediate Spanish II: Spanish for Healthcare ,Zimotti,"Zimotti healthcare OER, forthcoming",15,1754.1,Spanish and Portuguese
18,SPAN: 1502,Intermediate Spanish II: Spanish for Educators ,Zimotti,Salon de Clase,8,935.52,Spanish and Portuguese
19,SLIS: 5030,Information Organization,Bateman,"Bateman OER, forthcoming",48,5613.12,Library and Information Science
20,EDTL: 4066,Curriculum Concepts in Gifted Ed,Croft,"Croft OER, forthcoming",15,1754.1,Education
21,PCOL: 3102,Pharmacology II: Mechanisms Drug Action,Dannen,"Dannen OER, forthcoming",14,1637.1599999999999,Neuroscience and Pharamcology
22,ESL: 4190,ESL Academic Writing,Yaeger,"Dresser OER, forthcoming",7,818.5799999999999,English as a Second Language Programs
23,RUSS: 3112,Third year Russian II,Kostina,"Dyer OER, forthcoming",4,467.76,Russian
24,PHAR: 8502,Advanced Pharmacopalliation of Pain,Lockman,"Lockman OER, forthcoming",8,935.52,College of Pharmacy
25,SWAH: 1002,Elementary Swahili II,Nkurlu,"Nkurlu OER, forthcoming",56,6548.639999999999,Swahili
26,SWAH: 1002,Elementary Swahili II,Mkenda,Online Swahili Elementary Course,53,6197.82,Swahili
27,MATH: 4060,Discrete Mathematical Models,Sokratova,"Sokratova OER, forthcoming",31,3625.14,Mathematics
